,total,before liberal,before conservative,after liberal,after conservative
haircut,287.0,166.0,121.0,188.0,99.0
makeup,386.0,206.0,180.0,260.0,126.0
beard,357.0,207.0,150.0,229.0,128.0
drag,168.0,121.0,47.0,121.0,47.0
hairdoo,68.0,41.0,27.0,40.0,28.0
glasses,26.0,18.0,8.0,17.0,9.0
total,1292.0,759.0,533.0,855.0,437.0
