,accuracy on pol_dat_us,accuracy on pol_dat_ca,accuracy on pol_dat_uk,accuracy on pol_fb_us
model trained on pol_dat_us,57.77924591722011,52.91558654390512,52.48407643312102,59.555814771612134
model trained on pol_dat_ca,56.09409228415453,67.85405679210989,60.78521457658974,62.2803606806273
model trained on pol_dat_uk,56.73980319204423,59.80602485027264,62.20528349169886,60.86207854246515
model trained on pol_fb_us,59.21914299291816,57.367182145943204,59.72225122689777,66.72684182265918
